# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length,Longest Shortest Path,spx,spy,spz
43,457,229,1649,16728,0.537,407,36,4.23,45,99.462,0,0
454,50,41,174,1354,0.393,44,5,1.213,43,28.239,48.344,0
68,31,35,113,1065,0.435,23,8,1.33,12,42.031,88.128,0
87,41,41,142,1226,0.408,33,6,1.891,32,41.353,18.685,0
4,49,32,153,962,0.313,46,3,0.886,9,45.971,21.503,0
70,34,34,113,1017,0.401,30,4,1.531,32,46.416,54.784,0
5,59,50,211,1504,0.37,51,7,1.314,23,50.25,19.765,0
114,59,40,209,1412,0.359,48,11,1.168,54,57.072,63.957,0
34,46,41,56,1099,0.344,41,5,0.862,56,63.999,55.483,0
76,73,53,247,1691,0.353,63,10,1.458,77,70.609,28.409,0
76,51,40,185,1191,0.346,43,6,0.844,32,75.206,53.322,0
121,61,46,89,1570,0.394,56,5,1.117,65,76.413,17.88,0
99,38,35,145,977,0.354,27,11,3.424,45,84.188,90.035,0
99,65,57,213,1535,0.336,55,7,1.479,32,86.984,51.627,0
81,40,36,756,1157,0.414,35,4,1.227,232,94.526,11.524,0
8,46,36,146,1422,0.459,42,4,1.315,43,98.382,10.635,0
7,46,39,7978,1333,0.416,39,5,1.362,343,102.767,81.265,0
71,35,34,111,1097,0.445,32,3,1.53,54,103.911,11.228,0
